Milliseconds	Altitude	Temperature	Pressure	AccelX	AccelY	AccelZ	MaxAccelZ	AltitudeStart
2580	0	24.5	994.57	0.06	-0.03	0.97	0.97	156.73
2734	0.08	24.5	994.56	0.06	-0.03	0.97	0.97	156.73
2888	0.12	24.5	994.55	0.06	-0.03	1	1	156.73
3043	0.09	24.5	994.55	0.06	-0.03	0.97	1	156.73
3197	0.08	24.5	994.56	0.06	-0.03	1	1	156.73
3356	0.26	24.5	994.53	0.06	-0.03	0.97	1	156.73
3510	-0.29	24.5	994.6	0.06	-0.03	1	1	156.73
3666	-0.06	24.5	994.57	0.06	-0.03	1	1	156.73
3824	0.05	24.5	994.56	-0.12	-0.16	1.06	1.06	156.73
3978	-0.26	24.5	994.6	0.31	0.16	0.91	1.06	156.73
4135	0.19	24.5	994.54	0.09	-0.19	0.56	1.06	156.73
4289	-0.06	24.5	994.57	-0.12	-0.62	1.03	1.06	156.73
4445	-0.17	24.5	994.59	0.31	-0.47	1	1.06	156.73
4601	-0.07	24.5	994.57	-0.62	-0.16	0.88	1.06	156.73
4758	0.04	24.5	994.56	0.06	-0.06	0.44	1.06	156.73
4912	-0.14	24.5	994.58	0.28	-0.44	0.97	1.06	156.73
5068	-0.14	24.5	994.58	-0.72	-1	2.53	2.53	156.73
5226	-0.54	24.5	994.63	0.62	-0.25	1.22	2.53	156.73
5383	0.45	24.5	994.51	-0.03	0.09	0.06	2.53	156.73
5537	0.85	24.5	994.46	-0.06	0.09	0.03	2.53	156.73
5691	1.02	24.5	994.44	-0.03	0.06	0.03	2.53	156.73
5846	1.09	24.5	994.44	-0.03	0.06	0.03	2.53	156.73
6000	0.81	24.5	994.47	-0.03	0.09	0.03	2.53	156.73
6154	0.2	24.5	994.54	-0.56	-1	0.75	2.53	156.73
6309	-0.31	24.5	994.6	-0.81	-0.06	1	2.53	156.73
6465	0.28	24.5	994.53	-0.19	0.59	0.47	2.53	156.73
6619	0.21	24.5	994.54	0.22	0.81	0.53	2.53	156.73
6775	-0.14	24.5	994.58	0.41	0.78	0.56	2.53	156.73
6932	0.03	24.5	994.56	-0.12	0.81	0.5	2.53	156.73
7086	-0.1	24.5	994.58	-0.03	0.41	0.84	2.53	156.73
7242	0.3	24.5	994.53	-0.22	0.47	0.81	2.53	156.73
7397	0.17	24.5	994.55	-0.25	0.62	0.72	2.53	156.73
7553	0.21	24.5	994.54	-0.12	0.75	0.66	2.53	156.73
7708	0.31	24.5	994.53	-0.16	0.72	0.66	2.53	156.73
7862	0.26	24.5	994.53	-0.03	0.78	0.59	2.53	156.73
8016	0.17	24.5	994.54	0.09	0.78	0.66	2.53	156.73
8172	0.24	24.5	994.54	0.09	0.62	0.84	2.53	156.73
8327	0.3	24.5	994.53	0.41	0.56	0.72	2.53	156.73
8481	0.09	24.5	994.55	0.53	0.47	0.72	2.53	156.73
8635	0.54	24.5	994.5	0.53	0.44	0.75	2.53	156.73
8790	-0.03	24.5	994.57	0.69	0.06	0.75	2.53	156.73
8946	0.27	24.5	994.53	0.78	-0.31	0.06	2.53	156.73
9100	0.19	24.5	994.54	0.84	-0.38	0.38	2.53	156.73
9255	-0.04	24.5	994.57	0.69	-0.41	0.53	2.53	156.73
9411	0.19	24.5	994.54	0.62	-0.56	0.56	2.53	156.73
9567	0.16	24.5	994.55	0.56	-0.59	0.59	2.53	156.73
9722	0.05	24.5	994.56	0.53	-0.62	0.53	2.53	156.73
9876	0.21	24.5	994.54	0.62	-0.56	0.47	2.53	156.73
10030	0.57	24.5	994.5	0.84	-0.28	0.31	2.53	156.73
10187	0.28	24.5	994.53	0.81	-0.31	0.34	2.53	156.73
10343	0.41	24.5	994.52	0.81	-0.34	0.34	2.53	156.73
10499	-0.06	24.5	994.57	0.81	-0.44	0.31	2.53	156.73
10657	0.29	24.5	994.53	0.84	-0.53	0.03	2.53	156.73
10814	0.01	24.5	994.56	0.88	-0.5	-0.09	2.53	156.73
10974	0.42	24.5	994.52	0.88	-0.47	-0.22	2.53	156.73
11132	0.38	24.5	994.52	0.84	-0.47	-0.25	2.53	156.73
11290	0.6	24.5	994.49	0.81	-0.5	-0.25	2.53	156.73
11448	0.25	24.5	994.54	0.81	-0.5	-0.28	2.53	156.73
11608	0.25	24.5	994.54	0.78	-0.53	-0.31	2.53	156.73
